sample_index,sim_time_s,ego_x,ego_y,ego_speed_mps,obstacle_count,nearest_ttc_s,nearest_ttc_obstacle_id,nearest_ttc_reason,nearest_ttc_longitudinal_gap_m,nearest_ttc_lateral_gap_m,nearest_ttc_bumper_gap_m,nearest_ttc_bumper_gap_raw_m,nearest_ttc_closing_speed_mps,nearest_ttc_obstacle_x,nearest_ttc_obstacle_y,nearest_ttc_obstacle_v_mps,max_drac_mps2,min_pet_s,behavior_decision,fsm_state,blocking_obstacle_id,decision_reason,collision_count,last_collision_actor_type,cp_provider_source,native_opencda_available,native_opencda_required,cp_obstacle_count,lateral_offset_m,heading_error_rad,Cost_ref,Cost_LaneCenter,Cost_RoadBoundary,Cost_Repulsive,Cost_Control,road_boundary_sample_valid,road_boundary_lateral_offset_m,road_boundary_lane_width_m,road_boundary_ego_half_width_m,road_boundary_clearance_m,road_boundary_breach,road_boundary_breach_count,road_boundary_sample_count,road_boundary_breach_rate
48,10.325920107,-55.538177490234375,133.369873046875,3.1953210802409114e-06,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,871.3312746953955,96.20325122865637,0.0,1.2984759750398074e-85,5.768226047322208,True,4.518954654919582e-16,3.4999999998626734,1.07,0.5298674427262461,False,0,49,0.0
49,10.375920107,-55.54628372192383,133.3697967529297,0.5271282131128026,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,861.2147919090869,145.05392907186322,0.0,8.354248379651862e-86,36828.07072987735,True,1.0305124809040223e-14,3.499999999862645,1.07,0.5298671661973352,False,0,50,0.0
50,10.425920108,-55.6090087890625,133.36923217773438,1.678818697263763,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,2719.4384155156713,4168.2263550958405,0.0,6.608656668805636e-86,33625.01806318651,True,-1.474514954580286e-17,3.499999999860618,1.07,0.5297395945501314,False,0,51,0.0
51,10.475920109,-55.71921920776367,133.36827087402344,2.48720663181182,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,,,,,,True,-4.827735433643454e-15,3.4999999998619913,1.07,0.5295584038364359,False,0,52,0.0
52,10.525920109,-55.85984802246094,133.36756896972656,2.982724852994861,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,2397.988682507217,6735.291390501074,831929.1466251425,5.840469251290946e-87,50496.95100183678,True,1.0526302052227265e-14,3.4999999998595754,1.07,0.5297470385969268,False,0,53,0.0
53,10.57592011,-56.0181770324707,133.36512756347656,3.2680050775623983,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,2296.224116710334,6978.9413639011245,862923.2509749777,7.614187434058345e-88,47995.18771369385,True,-9.46985545535739e-15,3.4999999998589697,1.07,0.5283355472259933,False,0,54,0.0
54,10.625920111,-56.18596649169922,133.3615264892578,3.4057563498604932,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,2243.8504688290095,7173.266370653664,893591.5567637791,2.3278132153624708e-88,45513.47586966551,True,-7.836613302725226e-15,3.499999999858248,1.07,0.5257693209281605,False,0,55,0.0
55,10.675920112,-56.35844421386719,133.357421875,3.487577103703783,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,563.7500174921412,547.8683523257762,0.0,7.537363018797339e-89,45661.64567506399,True,-6.930220286527344e-15,3.4999999998594244,1.07,0.5227328744484746,False,0,56,0.0
56,10.725920112,-56.53472900390625,133.3537139892578,3.5598958608560665,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,563.8961916989145,558.2348147683807,0.0,5.182820569608294e-89,44502.74305894648,True,7.37257477290143e-15,3.4999999998587144,1.07,0.5201152621250341,False,0,57,0.0
57,10.775920113,-56.71443557739258,133.35023498535156,3.6248828603917334,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,2237.78515472996,4909.501893268966,1050.403382049788,5.559297577203587e-89,44263.68737908952,True,-3.5301622736128024e-16,3.499999999855596,1.07,0.5177479468511287,False,0,58,0.0
